Year,Month,Day,Hour,Electronics_Laptops,Electronics_Smartphones,Electronics_Headphones,Clothing_Men_Shirts,Clothing_Women_Dresses,Clothing_Kids_Pants,Home_Appliances_Refrigerators,Home_Appliances_Washers,Home_Decor_Curtains,Home_Decor_Rugs,Beauty_Makeup,Beauty_Skincare,Sports_Outdoor_Gear,Sports_Fitness_Equipment,Toys_Dolls,Online_Traffic,Store_Traffic,Marketing_Spend,Cost,Profit_Margin,Customer_Age_Group,Customer_Region,Holiday_Flag,Toys_Educational,Food_Beverages_Snacks,Food_Beverages_Organic,Automotive_Accessories,Automotive_Replacement_Parts
2020,1,1,20,1838,743.35,358.46,60.62,144.48,81.56,3172.77,702.59,105.07,215.65,51.35,146.97,433.48,225.35,22.08,294.06,261.97,272.09,383.79,23.37,44,East,0,57.09,13.51,12.13,257.05,431.34
2020,1,1,21,1149.76,1359.03,132.84,48.8,205.47,37.4,2719.34,559.04,96.43,244.98,41.87,168.95,188.72,687.68,61.91,674.74,136.95,496.91,830.1,23.51,47,South,0,82.83,17.09,22.34,155.74,485.84
2020,1,1,22,1553.34,857.43,516.14,98.63,129.33,61.07,2222.33,515.86,109.65,122.2,15.5,41.92,152.75,114.47,18.39,603.22,277.07,274.68,691.06,20.22,20,West,0,24.48,9.14,41.17,196.62,145.04
2020,1,1,23,2414.23,1454.74,115.69,117.34,88.31,54.09,2415.08,1589.56,94.31,217.33,57.77,245,214.09,377.98,58.61,569.28,269.3,336.22,569.73,7.67,39,West,0,114.92,26.77,33.03,271.81,140.5
2020,1,2,0,1390.24,922.42,96.29,65.02,127.71,63.12,2391.47,1108.41,83.96,201.59,14.87,27.35,383.72,464.02,84.83,616.9,232.23,332.55,456.38,9.68,43,South,0,95.09,23.86,42.91,109.62,401.94
2020,1,2,1,2054.55,662.65,447.56,54.13,76.63,43,914.67,975.81,41.07,125.66,23.92,102.78,156.73,208.5,83.92,487.68,335.55,178.35,692.34,13.73,20,South,0,98.94,30.05,40.19,283.54,293.03
2020,1,2,2,2492.04,1124.88,230.62,87.44,197.72,44.26,1873.75,1047.27,85.17,324.92,32.96,34.97,94.24,813.9,35.68,506.6,312.6,375.68,411,16.92,25,South,0,158.39,6.45,16.39,100.31,493.39
2020,1,2,3,925.21,628.08,420.21,69.95,181.45,63.97,1245.23,1024.74,51.21,329.62,34.22,16.34,98.8,201.58,29.82,776.77,316.85,486.56,476.06,18.44,39,West,0,166.78,27.35,29.51,130.43,156.19
2020,1,2,4,1801.97,1083.78,299.12,85.81,142.54,54.53,1330.42,754.4,46.54,348.81,20.36,66.8,113.62,378.2,39.06,600.74,169.66,237.07,704.3,12.45,56,East,0,93.42,5.44,49.61,157.43,216.56
2020,1,2,5,2120.37,1422.35,402.47,100.63,135.81,89.66,3215.77,608.32,108.41,308.37,22.29,160.04,443.17,545.19,73.1,641.48,390.6,487.99,627.77,7.8,42,East,0,92.04,15.62,9.92,122.4,515.47
2020,1,2,6,746.82,614.58,280.34,28.38,98.96,51.24,2392.18,528.14,135.27,46.09,8.72,65.01,353.57,360.11,12.53,615.65,408.97,210.58,670.89,19.96,30,South,0,144.55,4.35,38.68,85.74,462.77
2020,1,2,7,1544.55,448.38,389.09,120.59,140.39,35.15,2210.96,1100.19,75.57,101.49,38.92,18.26,644,138.92,21.26,518.36,155.63,471.95,821.65,12.71,19,East,0,108.31,16.39,38.97,252.17,460.45
2020,1,2,8,1981.19,1149.29,327.84,100.8,153.96,62.51,1986.59,567.4,132.06,144.88,22.41,141.42,196.03,361.99,18.67,188.41,469.61,420.92,561.71,17.83,66,East,0,103.34,8.52,27.3,217.84,353.77
2020,1,2,9,1302.56,404.79,53.17,52.68,271.7,22.04,2087.91,780.59,121.69,101.56,30.12,139.72,234.96,384.13,28.32,707.04,168.19,296.43,480.65,19.06,52,East,0,140.16,26.66,32.16,216.57,432.91
2020,1,2,10,1244.81,1289.1,86.19,52.89,271.82,48.3,1236.89,622.14,107.04,100.98,69.28,34.95,205.81,141.85,52.64,311.05,401.63,408.96,736.86,6.01,40,South,0,90.13,17.48,40.77,188.12,294.36
2020,1,2,11,1035.09,1160.18,219.27,49.99,153.37,47.87,1087.91,479.29,146.55,200.21,68.63,89.44,113.13,228.18,38.03,528.84,222.55,282.8,650.37,23.59,25,North,0,137.24,21.91,29.97,213.84,188.54
2020,1,2,12,1443.85,1717.3,353.76,89.11,88.08,37.79,2147.63,882,144.45,310.89,36.98,174.23,155.82,296.98,45.17,520.69,460.42,206.82,505.28,16.48,30,South,0,137.69,20.61,39.89,266.22,543.73
2020,1,2,13,2337.01,1541.28,364.18,120.68,89.9,65.92,711.66,851.57,64.51,109.04,17.75,106.21,248.92,353.69,55.69,208.9,140.62,469.98,949.16,21.19,40,South,0,23.4,29.22,38.68,311.73,288.18
2020,1,2,14,1744.83,1466.5,490.02,67.75,37.78,12.55,2125.28,934.87,131.47,138.2,79.37,66.75,368.26,203.41,45.09,549.92,162.96,340.27,657.52,23.37,42,North,0,74.74,14.93,27.51,211.56,612.97
2020,1,2,15,1028.94,481.1,262.44,73.11,112.48,19.33,899.35,727.7,121.42,87.93,70.66,117.91,272.11,407.62,86.89,406.51,315.42,132.21,512.94,19.8,62,North,0,63.78,6.72,8.01,181.21,173.27
2020,1,2,16,1487.86,671.05,131.67,35.87,141.65,18.06,852.82,840.07,31.27,75.25,10.92,178.11,74.89,148.41,40.68,537.16,333.08,205.24,914.68,15.46,60,South,0,71.49,26.73,16.32,118.05,332.12
2020,1,2,17,1564.1,651.36,506.46,46.3,220.38,79.05,1398.76,614.49,224.12,283.1,19.75,186.7,167.95,937.03,23.12,436.63,313.31,368.34,671.91,13.41,28,South,0,143.76,19.26,28.98,93.4,427.07
2020,1,2,18,2000.7,972.43,93.41,77.85,293.99,47.54,3204.52,676.43,204.78,196.2,72.03,24.88,404.93,626.84,66.12,517.52,257.55,267.48,487.45,15.05,29,North,0,62.77,15.75,42.08,102.5,434.94
2020,1,2,19,979.47,1294.67,219.22,41.55,94.39,57.61,2281.98,390.34,117.77,215.93,33.41,113.05,285.58,400.55,25.52,690.95,327.12,190.47,697.36,19.88,58,North,0,58.01,26.93,42.47,70.36,462.14
2020,1,2,20,1189.02,663.2,435.46,77.86,56.59,63.4,3138.78,977.18,39.67,135.02,70.38,60.62,202.59,523.51,34.2,491.79,231.34,460.36,987.24,13.93,58,North,0,121.64,24.53,23.89,300.02,148.28
2020,1,2,21,897.34,837.01,159.21,67.84,73.6,43.31,1224.36,484.87,186.51,154.53,67.97,169.3,215.8,180.31,73.09,403.12,175.03,155.43,860.62,19.83,30,South,0,103.88,19.2,9.49,203.51,782.24
2020,1,2,22,1330.38,840.53,431.2,59.12,82.78,30.84,1023.23,1186.48,204.98,107.59,62.94,116.33,196.55,382.41,30.29,548.95,146.19,147.76,782.38,7.46,19,South,0,79.54,4.91,23.26,136.34,455.42
2020,1,2,23,1535.08,1049.33,453.4,28.45,212.36,68.53,1652.27,952.16,114.18,357.69,16.92,97.54,332.07,513.85,64.99,438.38,321.08,464.82,428.08,24.81,60,North,0,46.6,23.3,37.77,304.81,328.71
2020,1,3,0,1344.41,517.43,127.34,92.17,67.69,72.72,1427.7,797.68,47.68,71.56,29.11,267.92,383.27,191.67,19.76,466.53,218.28,113.14,806.89,9.22,46,South,0,95.98,13.74,14.41,270.51,599
2020,1,3,1,2210.03,518.84,123.25,46.56,104.78,66.58,483.11,1094.21,88.95,274.41,80.08,97.81,173.65,1009.6,17.84,468.79,363.49,451.57,830.09,10.03,37,South,0,95.84,17.07,42.19,385.19,678.44
2020,1,3,2,1227.14,779.49,88.09,30.58,105.01,49.16,1421.53,707.85,105.45,194.16,50.88,39.25,139.86,197.04,31.23,248.78,384.2,445.47,522.02,17.62,69,North,0,43.6,24.22,13.97,287.48,559.99
2020,1,3,3,1518.06,756.18,367.86,61.72,70.74,33.17,2644.76,547.89,97.1,203.87,51.02,201.37,294.33,447.93,23.61,773.4,284.69,315.8,762.22,12.82,62,South,0,73.96,26.09,9.88,173.66,277.26
2020,1,3,4,1869.15,1238.94,173.45,95.27,106.45,90.28,1147.64,575.79,51.14,262.6,14.96,172.9,497.84,125.9,33.78,694.67,324.84,315.93,722.82,12.28,46,East,0,127.84,13.78,8.43,259.39,241.13
2020,1,3,5,2357.97,793.21,135.48,50.91,196.41,23.05,936.08,805.62,196.02,124.58,28.28,46.39,354.03,293.32,68.05,452.29,100.63,451.56,756.44,16.72,42,North,0,19.66,28.47,16.8,72.64,326.68
2020,1,3,6,1747.49,586.2,364.16,77.7,207.6,55.63,1176.31,1360.02,25.39,140.3,73.28,143.37,388.58,757.4,45.95,85.68,303.83,495.69,255.21,23.21,20,North,0,69.77,12.7,26.43,153.65,382.08
2020,1,3,7,1754.25,501.3,92.65,56.12,77.57,45.3,996.68,613.56,143.67,97.29,48.22,208.57,84.85,557.64,43.35,552.49,194.9,133.24,982.77,5.95,59,South,0,110.09,4.37,38.8,332.58,227.84
2020,1,3,8,1502.41,968.57,142.07,32.16,153.59,28.14,3931.44,668.21,61.36,154.37,25.09,24.58,302.81,530.71,30.79,501.09,308.14,229.58,581.24,24.77,26,South,0,148.33,4.34,16.96,122.61,252.57
2020,1,3,9,1477.33,564.71,205.18,93.54,113.74,32.76,2423.15,1452.58,113.18,116.26,63.08,131.34,374.42,327.82,14.67,600.17,253.54,426.37,938.61,12.83,64,East,0,125.71,9.02,32.25,109.13,281.03
2020,1,3,10,1688.49,1130.14,447.51,47.88,86.25,77.54,2811.22,404.68,88.35,94.32,9.09,55.38,307.04,404.52,22.36,718.01,263.36,199.5,714.96,7.85,26,West,0,152.63,25.93,24.75,96.89,469.93
2020,1,3,11,1911.3,1147.27,413.78,131.97,128.11,24.37,885.35,1130.89,57.45,187.13,14.28,139.12,482.98,371.54,63.43,483.21,328.02,282.47,577.84,24.11,42,East,0,39.96,18.1,51.59,116.96,462.63
2020,1,3,12,1503.52,1427.31,225.95,75.96,111.72,41.43,1435.82,615.84,50.65,364.09,9.07,204.59,334.22,482.3,20.84,487.98,376.67,430.55,201.51,9.33,39,South,0,94.89,12.9,20.22,206.53,462.48
2020,1,3,13,1544.38,469.44,127.9,66.22,253.93,56.04,2193.25,445.34,113.79,236.25,28.65,142.09,241.69,371.66,69.79,282.09,385.13,293.81,285.13,14.27,29,North,0,42.94,36.85,13.05,334.69,296.65
2020,1,3,14,2112.94,636.61,272.66,65.31,72.69,24.77,1683.3,840.18,117.37,116.21,64.17,66.14,473.13,720.26,15.09,607.48,394.83,465.13,982.38,20.27,60,West,0,41.64,20.48,35.9,148.99,283.2
2020,1,3,15,1618.59,1489.2,61.8,94.56,78.75,18.41,1158.33,798.81,87.55,111.89,65.36,141.35,89.1,726.76,43.08,560.23,388.13,459.93,258.84,20.49,40,West,0,40.5,19.5,9.61,253.44,346.91
2020,1,3,16,2119.53,1321.34,381.26,113.32,32.72,23.31,2896.36,795.68,49.39,121.73,10.11,66.64,105.83,60.38,44.91,461.06,381.72,374.08,577.3,12.55,53,East,0,89.43,19.08,8.51,258.23,400.79
2020,1,3,17,2485.66,1674.83,398.81,58.67,107.47,49.44,3066.23,531.12,56.28,107.5,54.99,142.99,155.12,198.37,52.05,546.92,114.37,362.95,339.79,13.17,31,East,0,107.87,24.35,29.73,144.83,663.53
2020,1,3,18,2306.91,741.55,267.87,73.79,110.29,31.11,1311.81,592.5,97.46,95.22,13.51,128.47,188.06,410.57,32.05,487.27,298.74,449.7,833.7,18.12,46,North,0,50.73,31.03,21.03,254.53,532.94
2020,1,3,19,2036.92,1186.88,116.48,67.23,55.5,37.52,1073.25,709.96,101.81,127.69,11.85,18.49,249.47,236.56,35.1,390.84,147.09,258.56,553.54,17.95,59,South,0,95.62,22.57,12.11,199.5,560.43
2020,1,3,20,927.54,714.58,169.78,83.92,104.69,50.05,874.37,606.54,80.78,272.2,34.01,101.74,96.17,238.52,16.59,549.83,224.27,383.5,330.8,23.49,31,South,0,64.68,20.16,30.44,302.07,434.77
2020,1,3,21,1766.46,1210.57,229.05,88.75,161.43,55.49,2105.09,720.02,53.97,157.34,32.93,169.06,185.02,149.3,59.23,365.22,364.87,451.01,321.77,11.89,58,West,0,114.37,10,41.32,221.56,497.84
2020,1,3,22,2570.7,644.59,170.3,41.34,67.26,61.39,1956.24,778.73,125.21,166.53,32.44,60.65,135.01,734.15,31.66,176.97,397,106.2,360.11,10.71,60,South,0,128.21,31.16,8.91,116.83,545.05
2020,1,3,23,979.59,794.84,234.84,90.19,84.19,32.92,1741.02,871.81,121.15,141.65,35.91,78.33,141.52,418.75,16.72,447.23,380.97,201.84,753,20.95,40,East,0,42.36,28.54,22.7,99.11,661.24
2020,1,4,0,1274.05,1110.14,300.78,42.15,167.55,42.19,1582.92,758.17,155.1,146.35,18.47,103.52,307.82,294.96,34.76,448.74,271.75,318.81,927.1,22.52,55,West,0,122.88,7.14,23.74,228.85,413.58
2020,1,4,1,2245.95,1198.48,243.54,67.42,139.94,24.07,790.42,758.44,59.56,189.66,28.55,96.41,295.49,426.3,27.82,583.57,251.51,222.76,968.07,13.23,67,West,0,99.37,3.34,8.77,151.82,532.83
2020,1,4,2,1429.96,867.17,293.24,37,145.41,32.78,2453.78,846.21,78.69,217.95,40.88,129.8,313.2,675.37,54.55,696.92,476.57,388.03,594.19,10.57,64,South,0,60.33,30.12,15.06,247.69,383.94
2020,1,4,3,1832.11,908.34,468.3,81.56,70.65,30.32,1145.45,679.15,170.78,206.2,26.89,74.92,219.16,393.47,78.12,271.34,307.28,167.34,287.19,9.17,39,West,0,44.97,27.14,20.74,249.14,133.18
2020,1,4,4,1504.38,1005.35,314.15,45.9,206.7,28.33,1909.65,650.56,93.22,148.76,11.93,209.54,499.81,176.63,36.49,206.37,289.64,335.63,742.07,21.49,37,South,0,58.16,12.47,32.38,147.26,534.13
2020,1,4,5,722.07,982.02,101.21,44.75,169.97,23.31,1778.5,1012.58,147.02,110.48,42.92,59.22,189.1,412.88,68.01,389.75,436.4,198.08,823.5,15.07,55,East,0,65.17,14.49,22.77,128.29,522.75
2020,1,4,6,1995.1,1350.69,390.25,68.76,164.06,55.79,2620.73,717.55,55.58,195.03,60.38,102.44,449.38,147.07,48.19,411.11,327.5,439.12,565.83,21.62,44,North,0,135.66,31.47,15.14,58.49,329.48
2020,1,4,7,1875.64,505.23,170.87,100.38,68.73,64.26,1400.53,441.31,89.81,266.37,41.45,108.86,321.22,228.13,34.07,468.43,369.9,298.56,585.28,20.85,64,East,0,33.77,19.68,38.18,274.86,551.51
2020,1,4,8,1492.42,1067.77,549.2,30.03,189.09,62.95,1571.6,895.37,50.08,192.01,68.23,149.23,264.45,387.67,39.91,461.78,287.22,156.17,393.03,18.49,50,East,0,53.79,17.85,38.8,141.25,246.59
2020,1,4,9,1666.42,551.45,338.37,44.81,165.95,81.17,4010.44,1085.54,67.95,225.51,29.02,219.9,103.08,290.98,46.65,709.77,431.99,248.46,801.31,22.82,56,East,0,79.32,14.58,53.64,140.99,389.91
2020,1,4,10,1534.46,570.95,189.23,47.55,107.66,69.89,1094.08,422.38,78.86,165.06,81.59,134.21,275.87,216.75,25.11,666.99,358.69,330.69,499.31,6.94,63,West,0,118.13,12.24,25.32,88.96,199.79
2020,1,4,11,1404.53,1085.49,274.04,70.98,214.35,37.46,2190.09,637.58,106.37,187.76,69.42,115.22,284.89,230.19,60.99,594.4,250.4,318.73,402.49,20.85,27,South,0,77.15,27.76,28.29,159.29,397.31
2020,1,4,12,1591.23,1191.7,486.9,92.48,143.29,75.1,1115.86,983.86,123.4,241.78,46.25,128.26,105.41,512.71,33.1,222.43,246.04,465.26,695.17,13.3,65,East,0,57.43,5.2,40.69,72.13,370.17
2020,1,4,13,1458.19,944.49,140.43,56.37,136.04,20.29,1424.9,479.2,80.92,113.26,64.16,131.8,255.35,614.4,42.43,563.02,296.7,298.64,797.3,10.38,36,South,1,126.55,15.02,33.81,151.59,149.25
2020,1,4,14,1834.66,695.76,292.98,117.35,268.85,67.02,1593.62,546.82,107.56,98.09,26.95,154.73,433.92,645.54,46.83,541.32,261.84,466.72,507.12,19.56,68,South,0,45.73,5.53,21.94,185.43,366.3
2020,1,4,15,1331.1,511.14,203.64,65.22,110.79,58.87,2202.79,581.65,139.2,122.36,31.75,101.8,279.01,196.41,92.39,145.62,191.41,300.24,528.92,6.11,40,South,0,96.49,25.94,18.32,233.46,246.09
2020,1,4,16,1570.46,585.37,64.85,62.65,120.45,62.21,3097.77,908.45,23.32,247,35.67,210.24,392.52,368.29,25.34,525.52,144.96,185.68,905.94,16.45,29,North,0,60.04,19.49,13.87,126.19,389.81
2020,1,4,17,2060.31,778.68,369.17,128.41,262.92,26.52,1626.28,549.48,58.16,166.02,9.8,164.83,110.86,857.69,31.73,431.59,287.14,377.37,357.76,21.86,32,South,0,117.51,29.36,21.56,238.31,130.78
2020,1,4,18,1139.25,631.98,293.27,69.08,85.41,38.25,1004.66,623.55,77.61,113.29,73.52,70.98,150.28,748.79,25.35,596.04,348.09,333.73,688.41,12.67,68,South,0,56.26,8.02,8.09,198.72,337.7
2020,1,4,19,1154.89,647.74,155.54,123.54,207.49,54.27,2561.09,784.62,71.55,298.45,61.73,55.32,141.02,473.93,61.28,493.87,408.15,317.32,912.14,12.2,31,South,0,90.92,17.48,35.52,152.11,233.7
2020,1,4,20,895.74,469.25,358.15,104.51,96.37,55.42,1042.77,574.39,55.85,100.1,39.69,54.64,326.6,313.52,29.7,727.24,136.8,410.55,817.65,21.14,49,West,0,177.15,11.48,22.06,229.7,286.19
2020,1,4,21,1349.8,473.75,147.89,62.01,151.52,72.53,2229.99,786.86,62.39,93.73,69.72,31.24,120.28,792.9,59.58,255.45,335.35,458.85,959.37,10.01,31,East,0,115.73,11.35,43.81,94.32,292.75
2020,1,4,22,1866.33,979.92,416.72,66.76,95.97,25.99,1145.73,574.3,47.74,116.4,46.35,168.04,336.42,346.83,15.51,326.47,294.79,466.03,909.99,16.66,43,West,0,49.59,10.51,38.12,209.04,431.59
2020,1,4,23,964.58,832.03,122.72,31.84,111.96,43.53,2392.75,720.11,112.25,155.7,47.72,127.49,173.7,246.43,37.68,577.92,203.95,378.54,457.5,9.44,24,North,0,164.95,5.33,22.9,175.38,128.75
2020,1,5,0,1321.06,852.71,354.36,103.47,80.63,41.82,2378.41,545.95,106.82,265.82,47.73,33.7,166.89,602.49,47.37,508.72,201.61,222.53,575.23,15.69,53,North,0,148.89,4.21,28.63,180.86,144.37
2020,1,5,1,1201.55,1035.57,273.55,103.71,123.98,67.84,1491.21,541.65,65,209.2,29.86,58.84,309.7,547.54,24.28,612.45,275.77,119.68,264.7,7.48,32,West,0,88.72,29.85,15.53,172.81,241.03
2020,1,5,2,1361.31,755.7,157.26,47.87,163.68,77.75,2148.32,1144.88,100.9,73.27,30.99,49.96,128.87,595.42,75.92,650.26,126.77,163.79,720.14,24.65,55,West,0,151.66,22.94,52.95,275.21,491.93
2020,1,5,3,739.37,1433.15,465.46,44.33,184.82,44.58,1781.56,967.81,79.01,187.39,83.51,27.88,174.55,442.37,102.04,444.07,462.15,256.24,972.36,14.69,26,North,0,80.42,21.78,29.64,107.02,461.42
2020,1,5,4,1889.24,1209.52,233.71,114.48,179.1,22.82,1037.99,459.29,78.42,226.15,44.66,167.17,444.41,680.22,50.76,645.65,57.25,121.28,448.36,12.33,63,West,0,33.97,4.65,10.99,266.74,244.33
2020,1,5,5,1596.51,1100.54,158.46,25.58,60.06,70.91,748.62,974.95,65.25,105.1,25.89,65.61,353.14,409.48,32.85,334.41,334.21,437.92,606.01,20.12,22,South,0,79.81,22.73,10.16,163.14,259.87
2020,1,5,6,1734.47,1311.16,453.67,78.43,159.19,81.44,900.45,795.99,89.73,189.49,62.56,26.03,140.77,353.83,45.46,702.43,321.98,480.71,906.44,5.06,67,South,0,42.13,15.25,10.12,124.83,526.87
2020,1,5,7,1312.48,922.41,450.7,57.52,223.98,76.57,3108.93,604.9,159.87,325.44,11.37,60.95,427.67,441.15,71.34,759.82,412.71,266.09,286.46,8.46,60,West,0,69.7,35.28,30.36,280.25,382.95
2020,1,5,8,1889.65,481.61,501.09,58.75,278.29,28.75,2075.53,666.24,42.29,232.55,87.97,17.88,375.05,227.59,22.71,547.7,347.18,128.01,210.1,22.21,59,South,0,128.71,11.03,19.97,293.61,488.28
2020,1,5,9,489.23,1218.88,215.54,79.39,62.93,53.21,1856.82,874.99,150.98,132.35,47.9,152.24,338.43,669.36,81.79,753.53,351.24,134.26,823.75,16.45,51,West,0,127.14,8.63,10.28,69.07,257.66
2020,1,5,10,2198.17,1023.32,101.69,98.63,171.71,63.99,2814.89,616.21,41.13,230.27,16.87,148.25,375.58,377.29,32.37,411.54,254.4,229.58,997.13,21.85,60,North,0,211.88,23.45,13.38,346.67,428.55
2020,1,5,11,1700.41,569.07,349.64,124.95,159.07,27.13,1399.64,975.61,210.92,262.69,12.26,170.25,329.31,459.25,32.12,482.36,271.93,392.24,669.77,18.59,62,South,0,123.86,23.8,42.86,65.89,217.86
2020,1,5,12,1384.63,1052.25,124.3,48.56,151.83,44.01,629.46,1361.52,161,217.86,12.9,233.83,142.79,464.57,76.44,484.27,296.56,176.6,209.34,8.89,43,South,0,76.61,29.53,20.7,239.04,362.35
2020,1,5,13,1466.97,349.56,134.49,36.38,122.35,28.29,1134.6,708.38,103.3,153.59,58.26,87.36,129.09,407.92,32.32,307.66,309.63,341.84,731.8,20,22,East,0,66.85,29.84,15.52,272.91,479.35
2020,1,5,14,1764.21,802.87,283.29,67.13,218.83,81.19,3181.26,543.97,103.84,197.98,29.05,97.33,358.57,249,18.33,568.31,246.41,204.64,293.72,7.14,35,West,0,72.46,15.8,12.92,198.64,203.91
2020,1,5,15,1720.83,1620.07,362.83,138.93,153.09,74.26,926.82,913.26,37.66,169.05,62.96,113.43,178.83,728.63,46.53,474.38,284.91,325.2,357.17,7.59,36,West,0,93.03,7.24,19.4,115.47,381.74
2020,1,5,16,656.2,590.08,303.57,47.45,93.38,44.92,2306.32,837.1,118.51,207,75.42,195.25,300.79,337.19,59.57,641.66,292.31,293.62,924.83,24.22,53,North,0,91.94,26.61,34.67,233.47,477.29
2020,1,5,17,949.37,1486.49,405.29,41.27,179.77,22.54,1696.87,639.54,25.79,267.26,74.2,67.55,176.4,288.11,43.17,732.84,313.43,189.78,291.65,19.4,31,North,0,71.29,23.27,35.9,358.22,539.76
