OBJECTID,PARKING_SPACE_ID,POST_ID,MS_PAY_STATION_ID,MS_SPACE_NUM,SENSOR_FLAG,ON_OFFSTREET_TYPE,OSP_ID,JURISDICTION,PM_DISTRICT_ID,BLOCKFACE_ID,ACTIVE_METER_FLAG,REASON_CODE,SMART_METER_FLAG,METER_TYPE,METER_VENDOR,METER_MODEL,CAP_COLOR,PCO_BEAT,OLD_RATE_AREA,STREET_ID,STREET_NAME,STREET_NUM,PARITY_DIGIT_POSITION,STREET_SEG_CTRLN_ID,ORIENTATION,LONGITUDE,LATITUDE,LEGISLATION_REF,LEGISLATION_DT,WORK_ORDER,COMMENTS,COLLECTION_ROUTE,COLLECTION_SUBROUTE,PMR_ROUTE,NFC_KEY,SPT_CODE,COLLECTION_ROUTE_DESC,COLLECTION_SUBROUTE_DESC,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts
152453,-,700-10050,-,0,,ON,,SFMTA,4,700101,U,UB,,SS,IPS,M5,Grey,,,700,VALENCIA ST,1005,,13069000,,-122.4209909027,37.7566974004,,,,,,,R-3,,,,,POINT (-122.420990903 37.7566974),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Mission,9,20,53,53,3,2
152725,-,440-30060,-,0,,ON,,SFMTA,20,440302,U,U5,,SS,IPS,M5,Grey,,,440,GEARY BLVD,3006,,6049201,,-122.4514849984,37.7820764006,,,,,,,B-1,,,,,POINT (-122.451484998 37.782076401),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Presidio Heights,2,31,11,11,8,6
152804,-,462-00010,-,0,,ON,,SFMTA,16,462001,U,U8,,-,-,-,-,,,462,HAIGHT ST,1,,6603000,,-122.4224071984,37.7730668996,,,,,,,H-1,,,,,POINT (-122.422407198 37.7730669),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Hayes Valley,6,9,26,26,4,11
152884,-,327-04410,-,0,,ON,,SFMTA,12,327041,U,U1,,-,-,-,-,,,327,BROADWAY,441,,3150000,,-122.4052368027,37.7979671982,,,,,,,G-4,,,,,POINT (-122.405236803 37.797967198),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,North Beach,3,23,106,106,6,3
152967,-,600-04300,-,0,,ON,,SFMTA,12,600042,T,UY,,SS,IPS,M5,Grey,,,600,PACIFIC AVE,430,,10121000,,ddsalkdqow,37.797392602,,,,,DPT MOS,DPT MOS,G-2,,,,,POINT (-122.4032354 37.797392602),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,North Beach,3,23,106,106,6,3
153117,-,216-29030,-,0,,ON,,SFMTA,4,216291,M,-,,SS,IPS,M5,Yellow,,,216,16TH ST,2903,,723000,,-122.417701598,37.7651012976,,,,,DPT MOS,DPT MOS,R-2,,,,,POINT (-122.417701598 37.765101298),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Mission,9,20,53,53,3,2
153189,-,440-15020,-,0,,ON,,SFMTA,5,440152,U,U6,,-,-,-,Blue,,,440,GEARY BLVD,1502,,6040201,,-122.4281976015,37.7851087999,,,,,,,C-3,,,,,POINT (-122.428197602 37.7851088),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Japantown,5,15,101,101,4,11
153298,-,400-03190,-,0,,ON,,SFMTA,13,400031,U,U1,,-,-,-,-,,,400,EDDY ST,319,,5061001,,-122.4132682976,37.7837910027,,,,,,,E-1,,,,,POINT (-122.413268298 37.783791003),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,5,36,20,20,5,10
154016,-,568-18480,-,0,,ON,,SFMTA,14,568182,U,UF,,-,-,-,-,,,568,MISSION ST,1848,,9114000,,-122.4199273006,37.7667866972,,,,,,,R-2,,,,,POINT (-122.419927301 37.766786697),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Mission,9,20,53,53,3,2
154103,-,418-09650,-,0,,ON,,SFMTA,14,418091,U,UC,,SS,IPS,M5,Grey,,,418,FOLSOM ST,965,,5666000,,-122.40492190020001,37.778931102600005,,,,,,,N-3,,,,,POINT (-122.4049219 37.778931103),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,1,10
154305,-,650-24060,-,0,,ON,,SFMTA,5,650242,U,U5,,-,-,-,-,,,650,SACRAMENTO ST,2406,,11255000,,-122.4327089441,37.7900571603,,,,,,,C-4,,,,,POINT (-122.432708944 37.79005716),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Pacific Heights,2,30,102,102,4,6
154813,-,612-07060,-,0,,ON,,SFMTA,15,612072,U,U5,,-,-,-,-,,,612,POLK ST,706,,10555000,,-122.4191391,37.783347700600004,,,,,,,E-4,,,,,POINT (-122.4191391 37.783347701),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,5,36,20,20,4,10
155915,-,563-01090,-,0,,ON,,SFMTA,13,563011,U,U1,,-,-,-,-,,,563,MCALLISTER ST,109,,8890000,,-122.4141277168,37.7808085025,,,,,,,J-4,,,,,POINT (-122.414127717 37.780808502),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,5,36,21,21,5,10
155938,-,616-02050,-,0,,ON,,SFMTA,1,616021,U,U4,,-,-,-,-,,,616,POWELL ST,205,,10677000,,-122.40813841670001,37.7865720053,,,,,,,I-3,,,,,POINT (-122.408138417 37.786572005),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,3,36,19,19,6,3
156016,-,209-02620,-,0,,ON,,SFMTA,14,209022,U,U1,,-,-,-,-,,,209,09TH ST,262,,453000,,-122.4118616019,37.7738350005,,,,,,,N-2,,,,,POINT (-122.411861602 37.773835),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,1,10
156455,-,121-13010,-,0,,ON,,SFMTA,24,121131,U,U6,,SS,IPS,M5,Grey,,,121,21ST AVE,1301,,1080000,,-122.4793222991,37.763274802699996,,,,,,,A-5,,,,,POINT (-122.479322299 37.763274803),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Sunset/Parkside,4,35,39,39,10,7
156502,-,686-01460,-,0,,ON,,SFMTA,13,686012,U,U1,,-,-,-,-,,,686,TURK ST,146,,12717000,,-122.4122969021,37.7830803011,,,,,,,J-1,,,,,POINT (-122.412296902 37.783080301),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,5,36,20,20,5,10
156604,-,612-09240,-,0,,ON,,SFMTA,15,612092,U,UC,,SS,IPS,M5,Grey,,,612,POLK ST,924,,10560000,,-122.4195989982,37.7856229012,,,,,,,E-3,,,,,POINT (-122.419598998 37.785622901),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,5,36,20,20,4,10
157068,-,470-02260,-,0,,ON,,SFMTA,1,470022,U,UC,,SS,IPS,M5,Grey,,,470,HOWARD ST,226,,7030000,,-122.394219998,37.7900669024,,,,,,,M-1,,,,,POINT (-122.394219998 37.790066902),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Financial District/South Beach,6,8,108,108,1,10
157185,-,470-05060,-,0,,ON,,SFMTA,1,470052,M,-,,SS,IPS,M5,Yellow,,,470,HOWARD ST,506,,7033000,,-122.3963263982,37.7884028991,,,,,DPT MOS,DPT MOS,M-2,,,,,POINT (-122.396326398 37.788402899),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Financial District/South Beach,6,8,32,32,1,10
157584,-,580-00250,-,0,,ON,,SFMTA,1,580001,U,U9,,-,-,-,-,,,580,NATOMA ST,25,,9507000,,-122.3969870989,37.7885866974,,,,,,,M-2,,,,,POINT (-122.396987099 37.788586697),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Financial District/South Beach,6,8,32,32,1,10
157752,-,568-51360,-,0,,ON,,SFMTA,35,568512,U,U1,,-,-,-,-,,,568,MISSION ST,5136,,9178000,,-122.44149751959999,37.7159843051,,,,,,,O-2,,,,,POINT (-122.44149752 37.715984305),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Outer Mission,11,28,80,80,9,1
157782,-,470-11720,-,0,,ON,,SFMTA,14,470112,M,-,,SS,IPS,M5,Grey,,,470,HOWARD ST,1172,,7049000,,-122.4110115492,37.776805214000007,,,,,DPT MOS,DPT MOS,N-2,,,,,POINT (-122.411011549 37.776805214),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,1,10
157829,-,208-02020,-,0,,ON,,SFMTA,14,208022,U,U8,,-,-,-,-,,,208,08TH ST,202,,409000,,-122.41152040259999,37.776028701,,,,,,,N-2,,,,,POINT (-122.411520403 37.776028701),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,1,10
157874,-,684-01740,-,0,,ON,,SFMTA,2,684012,U,U5,,-,-,-,-,,,684,TOWNSEND ST,174,,12657000,,-122.3922050106,37.7794052926,,,,,,,M-3,,,,,POINT (-122.392205011 37.779405293),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Financial District/South Beach,6,8,31,31,1,10
158475,-,612-01060,-,0,,ON,,SFMTA,3,612012,U,U9,,-,-,-,-,,,612,POLK ST,106,,10547000,,-122.41800730279999,37.777729400300004,,,,,,,J-4,,,,,POINT (-122.418007303 37.7777294),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,6,36,21,21,4,10
158887,-,211-00680,-,0,,ON,,SFMTA,14,211002,U,U1,,SS,IPS,M5,Grey,,,211,11TH ST,68,,508000,,-122.4173853284,37.774425839,,,,,,,N-1,,,,,POINT (-122.417385328 37.774425839),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Mission,6,20,32,32,5,10
159311,-,208-02240,-,0,,ON,,SFMTA,14,208022,U,U1,,SS,IPS,M5,Yellow,,,208,08TH ST,224,,410000,,-122.41106290159999,37.7756608975,,,,,,,N-2,,,,,POINT (-122.411062902 37.775660897),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,1,10
159621,-,400-01480,-,0,,ON,,SFMTA,13,400012,U,U9,,-,-,-,-,,,400,EDDY ST,148,,5059000,,-122.41083049929999,37.7842207988,,,,,,,J-1,,,,,POINT (-122.410830499 37.784220799),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,5,36,20,20,5,10
159712,-,209-01020,-,0,,ON,,SFMTA,14,209012,U,U1,,-,-,-,-,,,209,09TH ST,102,,448000,,-122.41468151469999,37.7760829029,,,,,,,N-2,,,,,POINT (-122.414681515 37.776082903),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,1,10
159762,-,700-14180,-,0,,ON,,SFMTA,29,700142,U,U3,,-,-,-,-,,,700,VALENCIA ST,1418,,13074000,,-122.420558402,37.7499159992,,,,,,,R-5,,,,,POINT (-122.420558402 37.749915999),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Mission,8,20,53,53,3,5
159793,-,370-01220,-,0,,ON,,SFMTA,4,370012,M,-,,SS,IPS,M5,Grey,,,370,CAPP ST,122,,3673000,,-122.4187,37.7643650983,,,,,DPT MOS,DPT MOS,R-2,,,,,POINT (-122.4187 37.764365098),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Mission,9,20,53,53,3,2
160231,-,365-06130,-,0,,ON,,SFMTA,30,365061,U,U4,,-,-,-,-,,,365,CORTLAND AVE,613,,4427000,,-122.4154215024,37.7390110985,,,,,,,O-3,,,,,POINT (-122.415421502 37.739011098),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Bernal Heights,9,2,83,83,9,2
160422,-,205-05040,-,0,,ON,,SFMTA,2,205052,M,-,,SS,IPS,M5,Grey,,,205,05TH ST,504,,304000,,-122.4001730994,37.7775779002,,,,,DPT MOS,DPT MOS,N-4,,,,,POINT (-122.400173099 37.7775779),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,1,10
160648,-,915-00160,-,0,,OFF,,SFMTA,31,591261,U,U6,,SS,IPS,M5,Grey,,,591,OCEAN AVE,3000,,9849000,,-122.4745673013,37.732050397300007,,,,,,,O-1,,,,,POINT (-122.474567301 37.732050397),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,West of Twin Peaks,7,41,62,62,10,8
160728,-,686-02050,-,0,,ON,,SFMTA,13,686021,U,UC,,SS,IPS,M5,Grey,,,686,TURK ST,205,,12718000,,-122.41264219739999,37.7829116014,,,,,,,J-1,,,,,POINT (-122.412642197 37.782911601),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,5,36,20,20,5,10
160886,-,664-09310,-,0,,ON,,SFMTA,12,664091,U,U9,,-,-,-,-,,,664,STOCKTON ST,931,,12205000,,-122.4081418027,37.7948043988,,,,,,,G-3,,,,,POINT (-122.408141803 37.794804399),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Chinatown,3,6,104,104,6,3
161480,-,667-00100,-,0,,ON,,SFMTA,14,667002,U,UB,,SS,IPS,M5,Grey,,,667,SOUTH VAN NESS AVE,10,,12015201,,-122.41921300039999,37.7744962991,,,,,,,N-1,,,,,POINT (-122.419213 37.774496299),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Mission,6,20,32,32,1,10
161572,-,210-02550,-,0,,ON,,SFMTA,14,210021,M,-,,SS,IPS,M5,Grey,,,210,10TH ST,255,,487000,,-122.41300050139999,37.7730695986,,,,,DPT MOS,DPT MOS,N-2,,,,,POINT (-122.413000501 37.773069599),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,1,10
161962,-,568-17220,-,0,,ON,,SFMTA,14,568172,M,-,,SS,IPS,M5,Yellow,,,568,MISSION ST,1722,,9112201,,-122.4201663022,37.7692803972,,,,,DPT MOS,DPT MOS,R-2,,,,,POINT (-122.420166302 37.769280397),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Mission,9,20,53,53,3,2
162279,-,500-07090,-,0,,ON,,SFMTA,12,500071,M,-,,SS,IPS,M5,Grey,,,500,JACKSON ST,709,,7373000,,-122.4069924985,37.7959404987,,,,,DPT MOS,DPT MOS,G-3,,,,,POINT (-122.406992499 37.795940499),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Chinatown,3,6,104,104,6,3
162708,-,915-00020,-,0,,OFF,,SFMTA,31,591261,U,U7,,SS,IPS,M5,Grey,,,591,OCEAN AVE,3000,,9849000,,-122.4747324975,37.7321339984,,,,,,,O-1,,,,,POINT (-122.474732497 37.732133998),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,West of Twin Peaks,7,41,62,62,10,8
163171,-,547-00020,-,0,,ON,,SFMTA,3,547002,U,U9,,-,-,-,-,,,547,DR TOM WADELL PL,2,,8277000,,-122.4183113902,37.7779861762,,,,,,,J-4,,,,,POINT (-122.41831139 37.777986176),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,5,36,21,21,4,10
163203,-,205-06130,-,0,,ON,,SFMTA,2,205061,T,UC,,SS,IPS,M5,Grey,,,205,05TH ST,613,,306000,,-122.3983501555,37.7763666668,,,,,DPT MOS,DPT MOS,N-4,,,,,POINT (-122.398350156 37.776366667),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,1,10
163623,-,562-00290,-,0,,ON,,SFMTA,13,562001,T,UD,,SS,IPS,M5,Red,,,562,MASON ST,29,,8799000,,-122.4093456005,37.784193999,,,,,DPT MOS,DPT MOS,J-1,,,,,POINT (-122.4093456 37.784193999),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,5,36,20,20,5,10
163886,-,845-05090,-,0,,ON,,PORT,2,845051,U,U9,,SS,IPS,M5,Grey,,,845,ILLINOIS ST,509,,7165000,,-122.3879218164,37.765319789799996,,,,,,,Port 3,,,,,POINT (-122.387921816 37.76531979),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Mission Bay,6,4,34,34,1,10
164203,-,563-01105,-,0,,ON,,SFMTA,13,563012,U,UK,,-,-,-,-,,,563,MCALLISTER ST,110,,8890000,,-122.4140846193,37.7809379711,,,,,,,J-4,,,,,POINT (-122.414084619 37.780937971),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,5,36,21,21,5,10
164422,-,500-08390,-,0,,ON,,SFMTA,12,500081,M,-,,SS,IPS,M5,Grey,,,500,JACKSON ST,839,,7384000,,-122.409435509,37.7956349647,,,,,DPT MOS,DPT MOS,G-3,,,,,POINT (-122.409435509 37.795634965),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Chinatown,3,6,104,104,6,3
164489,-,490-16030,-,0,,ON,,SFMTA,24,490161,U,U2,,-,IPS,M5,-,,,490,IRVING ST,1603,,7294000,,-122.4751368014,37.7635748022,,,,,,,A-5,,,,,POINT (-122.475136801 37.763574802),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Inner Sunset,7,14,109,109,10,7
164684,-,612-19320,-,0,,ON,,SFMTA,15,612192,U,UC,,SS,IPS,M5,Grey,,,612,POLK ST,1932,,10574000,,-122.4214832292,37.7949224377,,,,,,,D-2,,,,,POINT (-122.421483229 37.794922438),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Russian Hill,3,32,105,105,4,3
164738,-,440-22100,-,0,,ON,,SFMTA,18,440222,T,U9,,SS,MacKay,mkBeacon,Grey,,,440,GEARY BLVD,2210,,6044201,,-122.4399380998,37.7833923985,,,,,DPT MOS,DPT MOS,C-1,,,,,POINT (-122.4399381 37.783392398),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Japantown,2,15,103,103,8,11
164938,-,470-11110,-,0,,ON,,SFMTA,14,470111,M,-,,SS,IPS,M5,Yellow,,,470,HOWARD ST,1111,,7047000,,-122.4096727015,37.7776370988,,,,,DPT MOS,DPT MOS,N-2,,,,,POINT (-122.409672701 37.777637099),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,1,10
164971,-,549-22310,-,0,,ON,,SFMTA,7,549221,T,U8,,SS,MacKay,mkBeacon,Grey,,,549,LOMBARD ST,2231,,8461101,,-122.43891640170001,37.7993673001,,,,,DPT MOS,DPT MOS,F-2,,,,,POINT (-122.438916402 37.7993673),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Marina,2,13,14,14,4,6
165298,-,612-22330,-,0,,ON,,SFMTA,15,612221,U,UC,,SS,IPS,M5,Grey,,,612,POLK ST,2233,,10578000,,-122.4221812,37.7976014008,,,,,,,D-2,,,,,POINT (-122.4221812 37.797601401),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Russian Hill,3,32,105,105,4,3
165930,-,561-00540,-,0,,ON,,SFMTA,1,561002,M,-,,SS,IPS,M5,Red,,,561,MAIN ST,54,,8627000,,-122.3952238985,37.7919728019,,,,,DPT MOS,DPT MOS,M-1,,,,,POINT (-122.395223899 37.791972802),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Financial District/South Beach,6,8,108,108,6,10
166847,-,700-09560,-,0,,ON,,SFMTA,4,700092,U,U4,,-,-,-,-,,,700,VALENCIA ST,956,,13068000,,-122.42124760120001,37.7571141989,,,,,,,R-3,,,,,POINT (-122.421247601 37.757114199),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Mission,9,20,52,52,3,5
167035,-,562-00050,-,0,,ON,,SFMTA,13,562001,U,U1,,-,-,-,-,,,562,MASON ST,5,,8799000,,-122.40923720010001,37.7836538021,,,,,,,J-1,,,,,POINT (-122.4092372 37.783653802),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,5,36,20,20,5,10
167770,-,218-34010,-,0,,ON,,SFMTA,4,218341,U,U1,,-,-,-,-,,,218,18TH ST,3401,,878000,,-122.4195174982,37.761771200999995,,,,,,,R-3,,,,,POINT (-122.419517498 37.761771201),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Mission,9,20,53,53,3,2
169279,-,216-31140,-,0,,ON,,SFMTA,4,216312,M,UY,,SS,IPS,M5,Yellow,,,216,16TH ST,3114,,732000,,-122.4225096979,37.7649486017,,,,,DPT MOS,DPT MOS,R-2,,,,,POINT (-122.422509698 37.764948602),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Mission,9,20,37,37,3,5
169472,-,411-11360,-,0,,ON,,SFMTA,17,411112,T,UY,,SS,MacKay,mkBeacon,Grey,,,411,FELL ST,1136,,5450000,,-122.4373231975,37.774164398100005,,,,,DPT MOS,DPT MOS,C-1,,,,,POINT (-122.437323198 37.774164398),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Hayes Valley,5,9,23,23,4,11
169501,-,207-03350,-,0,,ON,,SFMTA,14,207031,M,-,,SS,IPS,M5,Grey,,,207,07TH ST,335,,372000,,-122.40688738520001,37.7761099486,,,,,DPT MOS,DPT MOS,N-3,,,,,POINT (-122.406887385 37.776109949),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,1,10
169595,-,440-52010,-,0,,ON,,SFMTA,21,440521,T,UD,,SS,IPS,M5,Yellow,,,440,GEARY BLVD,5201,,6073101,,-122.4752524996,37.7803877992,,,,,DPT MOS,DPT MOS,B-3,,,,,POINT (-122.4752525 37.780387799),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Outer Richmond,1,29,5,5,8,4
169610,-,502-03290,-,0,,ON,,SFMTA,13,502031,T,U8,,SS,IPS,M5,Grey,,,502,JONES ST,329,,7566000,,-122.4128270016,37.7847041999,,,,,DPT MOS,DPT MOS,J-1,,,,,POINT (-122.412827002 37.7847042),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,5,36,20,20,5,10
170069,-,208-03490,-,0,,ON,,SFMTA,2,208031,M,-,,SS,IPS,M5,Grey,,,208,08TH ST,349,,412000,,-122.4087297618,37.7739958202,,,,,DPT MOS,DPT MOS,N-2,,,,,POINT (-122.408729762 37.77399582),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,1,10
170227,-,568-25300,-,0,,ON,,SFMTA,4,568252,M,-,,SS,IPS,M5,Grey,,,568,MISSION ST,2530,,9123000,,-122.4188983996,37.7560706016,,,,,DPT MOS,DPT MOS,R-3,,,,,POINT (-122.4188984 37.756070602),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Mission,9,20,53,53,3,2
170429,-,470-01230,-,0,,ON,,SFMTA,1,470011,U,U5,,SS,IPS,M5,Grey,,,470,HOWARD ST,123,,7029000,,-122.3926936566,37.7910528429,,,,,,,M-1,,,,,POINT (-122.392693657 37.791052843),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Financial District/South Beach,6,8,108,108,1,10
