collision_id,unique_id,case_id_pkey,collision_date,collision_time,accident_year,month,day_of_week,time_cat,hour_of_day,time_of_day,season,location_id,weather_id,road_id,party_id,severity_id
45,25347,150126297.0,2015 February 10,16:49:00,2015,February,Tuesday,2:01 pm to 6:00 pm,16,Afternoon,Winter,45,2,1,56568,1
46,11987,150096474.0,2015 January 31,23:20:00,2015,January,Saturday,10:01 pm to 2:00 am,23,Night,Winter,46,2,15,57524,2
47,18707,160966378.0,2016 November 28,00:49:00,2016,November,Monday,10:01 pm to 2:00 am,0,Night,Fall,47,4,7,56835,2
48,38666,4076444.0,2008 December 15,07:15:00,2008,December,Monday,6:01 am to 10:00 am,7,Morning,Winter,48,7,16,48086,1
49,20584,3873297.0,2008 September 09,09:20:00,2008,September,Tuesday,6:01 am to 10:00 am,9,Morning,Fall,49,1,1,56568,2
50,24149,140823130.0,2014 September 30,06:23:00,2014,September,Tuesday,6:01 am to 10:00 am,6,Morning,Fall,50,2,17,57583,1
51,30975,4081441.0,2009 January 31,02:15:00,2009,January,Saturday,2:01 am to 6:00 am,2,Night,Winter,51,2,12,57653,1
52,24621,3979486.0,2008 November 07,21:26:00,2008,November,Friday,6:01 pm to 10:00 pm,21,Night,Fall,52,1,18,57406,2
53,12913,4215595.0,2009 April 20,15:29:00,2009,April,Monday,2:01 pm to 6:00 pm,15,Afternoon,Spring,53,2,2,56568,1
54,7218,2079343.0,2005 June 05,10:05:00,2005,June,Sunday,10:01 am to 2:00 pm,10,Morning,Summer,54,5,1,57525,1
55,40962,2841800.0,2006 October 16,16:08:00,2006,October,Monday,2:01 pm to 6:00 pm,16,Afternoon,Fall,55,2,1,54993,2
56,13624,160576795.0,2016 July 17,15:12:00,2016,July,Sunday,2:01 pm to 6:00 pm,15,Afternoon,Summer,56,2,2,57625,1
57,43805,2059940.0,2005 May 22,10:20:00,2005,May,Sunday,10:01 am to 2:00 pm,10,Morning,Spring,57,2,1,8523,1
58,15584,160129112.0,2016 February 12,22:32:00,2016,February,Friday,10:01 pm to 2:00 am,22,Night,Winter,58,2,3,57621,1
59,10087,160413852.0,2016 May 20,00:01:00,2016,May,Friday,10:01 pm to 2:00 am,0,Night,Spring,59,8,19,57033,6
60,30998,160422643.0,2016 May 23,22:10:00,2016,May,Monday,10:01 pm to 2:00 am,22,Night,Spring,60,2,3,57566,1
61,4819,160515135.0,2016 June 25,14:20:00,2016,June,Saturday,2:01 pm to 6:00 pm,14,Afternoon,Summer,61,8,2,57556,7
62,39036,160564035.0,2016 July 12,19:20:00,2016,July,Tuesday,6:01 pm to 10:00 pm,19,Evening,Summer,62,2,2,57649,1
63,9957,160766247.0,2016 September 22,11:31:00,2016,September,Thursday,10:01 am to 2:00 pm,11,Morning,Fall,63,2,2,57621,1
64,35233,160807631.0,2016 October 04,19:20:00,2016,October,Tuesday,6:01 pm to 10:00 pm,19,Evening,Fall,64,3,3,55448,1
65,24204,160673705.0,2016 August 20,16:09:00,2016,August,Saturday,2:01 pm to 6:00 pm,16,Afternoon,Summer,65,2,9,57556,4
66,14080,170201885.0,2017 March 10,18:01:00,2017,March,Friday,6:01 pm to 10:00 pm,18,Evening,Spring,66,2,15,57546,2
67,45456,160861819.0,2016 October 22,20:30:00,2016,October,Saturday,6:01 pm to 10:00 pm,20,Evening,Fall,29223,2,3,57659,8
68,19528,4933676.0,2010 November 15,15:25:00,2010,November,Monday,2:01 pm to 6:00 pm,15,Afternoon,Fall,68,2,2,56833,2
69,38860,2661383.0,2006 May 22,13:00:00,2006,May,Monday,10:01 am to 2:00 pm,13,Afternoon,Spring,69,2,2,57614,1
70,27223,150507039.0,2015 June 10,14:35:00,2015,June,Wednesday,2:01 pm to 6:00 pm,14,Afternoon,Summer,70,4,16,57525,1
71,11370,2706302.0,2006 June 20,02:07:00,2006,June,Tuesday,2:01 am to 6:00 am,2,Night,Summer,71,2,12,57653,1
72,21204,180034858.0,2018 January 13,16:47:00,2018,January,Saturday,2:01 pm to 6:00 pm,16,Afternoon,Winter,72,2,2,57653,1
73,11925,160912638.0,2016 November 09,09:00:00,2016,November,Wednesday,6:01 am to 10:00 am,9,Morning,Fall,73,2,20,57557,1
74,34715,2892114.0,2006 October 27,09:20:00,2006,October,Friday,6:01 am to 10:00 am,9,Morning,Fall,74,2,1,57585,3
75,24164,2894322.0,2006 November 09,11:30:00,2006,November,Thursday,10:01 am to 2:00 pm,11,Morning,Fall,50,2,1,57566,1
76,27778,2699998.0,2006 June 18,16:07:00,2006,June,Sunday,2:01 pm to 6:00 pm,16,Afternoon,Summer,75,2,2,57653,1
77,44616,180456412.0,2018 June 20,02:45:00,2018,June,Wednesday,2:01 am to 6:00 am,2,Night,Summer,76,2,21,56568,4
78,39327,180405306.0,2018 May 31,13:53:00,2018,May,Thursday,10:01 am to 2:00 pm,13,Afternoon,Spring,77,2,2,57524,4
79,45461,170397434.0,2017 May 15,07:15:00,2017,May,Monday,6:01 am to 10:00 am,7,Morning,Spring,29223,2,2,57607,2
80,7895,180596604.0,2018 August 09,18:12:00,2018,August,Thursday,6:01 pm to 10:00 pm,18,Evening,Summer,78,2,2,57524,2
81,34481,3791451.0,2008 June 08,19:54:00,2008,June,Sunday,6:01 pm to 10:00 pm,19,Evening,Summer,79,2,1,57621,2
82,39318,2763469.0,2006 June 11,06:50:00,2006,June,Sunday,6:01 am to 10:00 am,6,Morning,Summer,80,9,16,57660,9
83,81901,230063664.0,2023 January 27,09:09:00,2023,January,Friday,6:01 am to 10:00 am,9,Morning,Winter,81,2,2,55296,1
84,46422,190015365.0,2019 January 07,09:02:00,2019,January,Thursday,6:01 am to 10:00 am,9,Morning,Winter,82,1,22,57524,2
85,17022,140724469.0,2014 August 28,16:15:00,2014,August,Thursday,2:01 pm to 6:00 pm,16,Afternoon,Summer,83,8,2,46718,2
86,46519,190058252.0,2019 January 24,07:30:00,2019,January,Thursday,6:01 am to 10:00 am,7,Morning,Winter,84,2,9,57524,4
87,36765,9009655.0,2006 August 29,06:00:00,2006,August,Tuesday,6:01 am to 10:00 am,6,Morning,Summer,85,1,15,57653,1
88,30589,9004232.0,2006 August 24,12:57:00,2006,August,Thursday,10:01 am to 2:00 pm,12,Afternoon,Summer,86,2,2,57252,1
89,8395,9022717.0,2006 August 27,05:30:00,2006,August,Sunday,2:01 am to 6:00 am,5,Morning,Summer,87,2,12,56689,1
90,44844,3342295.0,2007 August 29,13:45:00,2007,August,Wednesday,10:01 am to 2:00 pm,13,Afternoon,Summer,88,2,2,57649,8
91,35869,170204083.0,2017 March 12,17:35:00,2017,March,Sunday,2:01 pm to 6:00 pm,17,Evening,Spring,89,2,1,51708,1
92,40296,140224130.0,2014 March 16,17:06:00,2014,March,Sunday,2:01 pm to 6:00 pm,17,Evening,Spring,90,2,1,57607,2
93,29018,2566295.0,2006 January 22,09:05:00,2006,January,Sunday,6:01 am to 10:00 am,9,Morning,Winter,91,2,1,57585,1
94,46359,190463714.0,2019 June 27,07:50:00,2019,June,Thursday,6:01 am to 10:00 am,7,Morning,Summer,92,2,9,57524,2
95,21169,6135509.0,2012 June 06,07:31:00,2012,June,Wednesday,6:01 am to 10:00 am,7,Morning,Summer,93,2,1,57660,1
96,32848,130286877.0,2013 April 08,12:02:00,2013,April,Monday,10:01 am to 2:00 pm,12,Afternoon,Spring,94,3,14,56772,3
97,33382,130654547.0,2013 August 08,09:20:00,2013,August,Thursday,6:01 am to 10:00 am,9,Morning,Summer,95,3,14,57546,1
98,4894,3893036.0,2008 September 04,07:45:00,2008,September,Thursday,6:01 am to 10:00 am,7,Morning,Fall,96,2,1,57617,3
99,10766,3697985.0,2008 March 04,13:11:00,2008,March,Tuesday,10:01 am to 2:00 pm,13,Afternoon,Spring,97,2,23,47549,6
100,29048,130695331.0,2013 August 14,10:13:00,2013,August,Wednesday,10:01 am to 2:00 pm,10,Morning,Summer,98,2,2,57566,1
101,43907,150045857.0,2015 January 15,18:39:00,2015,January,Thursday,6:01 pm to 10:00 pm,18,Evening,Winter,99,2,10,57622,2
102,7890,2340019.0,2005 October 25,16:13:00,2005,October,Tuesday,2:01 pm to 6:00 pm,16,Afternoon,Fall,100,2,1,57625,1
103,31481,130676159.0,2013 August 15,11:17:00,2013,August,Thursday,10:01 am to 2:00 pm,11,Morning,Summer,101,3,14,56772,1
104,38257,170821477.0,2017 October 06,11:45:00,2017,October,Friday,10:01 am to 2:00 pm,11,Morning,Fall,102,3,6,48086,1
105,42025,170847467.0,2017 October 16,18:00:00,2017,October,Monday,2:01 pm to 6:00 pm,18,Evening,Fall,103,3,6,57546,1
106,2311,150495945.0,2015 June 06,17:02:00,2015,June,Saturday,2:01 pm to 6:00 pm,17,Evening,Summer,104,2,24,57341,4
107,54325,200737015.0,2020 December 07,07:55:00,2020,December,Monday,6:01 am to 10:00 am,7,Morning,Winter,105,2,2,57524,4
108,14513,180359872.0,2018 May 14,17:19:00,2018,May,Monday,2:01 pm to 6:00 pm,17,Evening,Spring,106,1,1,56835,2
109,39991,150063172.0,2015 January 21,08:39:00,2015,January,Wednesday,6:01 am to 10:00 am,8,Morning,Winter,107,2,2,57525,1
110,40095,140339256.0,2014 April 24,09:36:00,2014,April,Thursday,6:01 am to 10:00 am,9,Morning,Spring,108,1,25,53854,2
111,18123,150135088.0,2015 February 13,15:28:00,2015,February,Friday,2:01 pm to 6:00 pm,15,Afternoon,Winter,109,2,2,57078,1
112,47454,190412153.0,2019 June 08,11:17:00,2019,June,Saturday,10:01 am to 2:00 pm,11,Morning,Summer,110,2,1,51067,4
113,46293,190414961.0,2019 June 09,15:46:00,2019,June,Sunday,2:01 pm to 6:00 pm,15,Afternoon,Summer,111,2,2,57631,4
114,19045,180247675.0,2018 April 03,20:05:00,2018,April,Tuesday,6:01 pm to 10:00 pm,20,Evening,Spring,112,2,2,57525,1
115,40279,160424138.0,2016 February 16,23:10:00,2016,February,Tuesday,10:01 pm to 2:00 am,23,Night,Winter,113,3,6,57546,1
116,83247,230853136.0,2023 December 04,20:20:00,2023,December,Monday,6:01 pm to 10:00 pm,20,Evening,Winter,114,2,3,57524,4
117,9851,5761052.0,2012 June 12,22:29:00,2012,June,Tuesday,10:01 pm to 2:00 am,22,Night,Summer,115,2,3,56707,2
118,56724,210675110.0,2021 October 15,13:59:00,2021,October,Friday,10:01 am to 2:00 pm,13,Afternoon,Fall,116,2,2,53237,2
119,41818,160170626.0,2016 February 27,10:50:00,2016,February,Saturday,10:01 am to 2:00 pm,10,Morning,Winter,117,2,2,57191,1
120,37862,160868291.0,2016 October 25,07:26:00,2016,October,Tuesday,6:01 am to 10:00 am,7,Morning,Fall,118,4,26,56833,1
121,26722,3805685.0,2008 July 27,07:14:00,2008,July,Sunday,6:01 am to 10:00 am,7,Morning,Summer,119,2,2,57525,1
122,13433,150000111.0,2015 December 25,,2015,December,Friday,Unknown,,Night,Winter,120,10,14,55166,1
123,86382,240494560.0,2024 August 08,07:45:00,2024,August,Thursday,6:01 am to 10:00 am,7,Morning,Summer,29223,2,27,57653,2
124,38558,2340052.0,2005 October 02,21:00:00,2005,October,Sunday,6:01 pm to 10:00 pm,21,Night,Fall,121,2,12,57653,2
125,48309,190653288.0,2019 September 02,16:29:00,2019,September,Monday,2:01 pm to 6:00 pm,16,Afternoon,Fall,122,2,11,53854,2
126,11263,1993044.0,2005 March 24,19:35:00,2005,March,Thursday,6:01 pm to 10:00 pm,19,Evening,Spring,123,2,12,53918,1
127,14188,130161376.0,2013 February 24,19:32:00,2013,February,Sunday,6:01 pm to 10:00 pm,19,Evening,Winter,124,2,12,56662,2
128,39803,3250933.0,2007 June 11,11:50:00,2007,June,Monday,10:01 am to 2:00 pm,11,Morning,Summer,125,2,25,56707,2
129,21795,141073480.0,2014 December 22,09:52:00,2014,December,Monday,6:01 am to 10:00 am,9,Morning,Winter,126,3,14,57546,8
130,25146,140779925.0,2014 September 16,08:45:00,2014,September,Tuesday,6:01 am to 10:00 am,8,Morning,Fall,127,3,14,56662,1
131,48917,190817246.0,2019 October 29,08:46:00,2019,October,Tuesday,6:01 am to 10:00 am,8,Morning,Fall,128,2,1,57524,4
132,34108,151089987.0,2015 December 17,18:00:00,2015,December,Thursday,2:01 pm to 6:00 pm,18,Evening,Winter,129,3,14,57546,1
133,9199,3123992.0,2007 March 06,16:50:00,2007,March,Tuesday,2:01 pm to 6:00 pm,16,Afternoon,Spring,130,2,28,56568,1
134,20442,2117020.0,2005 July 02,23:05:00,2005,July,Saturday,10:01 pm to 2:00 am,23,Night,Summer,131,1,12,56707,2
135,24458,150321431.0,2015 April 13,09:06:00,2015,April,Monday,6:01 am to 10:00 am,9,Morning,Spring,132,1,2,57655,2
136,9432,3728643.0,2008 April 26,20:13:00,2008,April,Saturday,6:01 pm to 10:00 pm,20,Evening,Spring,133,2,29,56568,2
137,45352,2685011.0,2006 June 17,18:14:00,2006,June,Saturday,6:01 pm to 10:00 pm,18,Evening,Summer,29223,2,2,56647,1
138,10499,4491677.0,2009 November 16,11:03:00,2009,November,Monday,10:01 am to 2:00 pm,11,Morning,Fall,135,2,1,57033,8
139,54110,200666436.0,2020 November 04,17:08:00,2020,November,Wednesday,2:01 pm to 6:00 pm,17,Evening,Fall,136,2,2,57033,4
140,55209,210314540.0,2021 May 22,09:15:00,2021,May,Saturday,6:01 am to 10:00 am,9,Morning,Spring,137,2,2,57653,8
141,86573,240583765.0,2024 September 16,22:29:00,2024,September,Monday,10:01 pm to 2:00 am,22,Night,Fall,138,2,12,57524,1
142,32859,180098945.0,2018 February 06,13:20:00,2018,February,Tuesday,10:01 am to 2:00 pm,13,Afternoon,Winter,139,2,1,57406,1
143,24481,130729350.0,2013 September 01,10:30:00,2013,September,Sunday,10:01 am to 2:00 pm,10,Morning,Fall,140,3,14,56772,2
144,87278,240753269.0,2024 December 03,17:27:00,2024,December,Tuesday,2:01 pm to 6:00 pm,17,Evening,Winter,141,2,30,53854,6
145,87410,240773853.0,2024 December 16,07:46:00,2024,December,Monday,6:01 am to 10:00 am,7,Morning,Winter,142,4,31,57478,4
146,57973,220311990.0,2022 May 13,04:37:00,2022,May,Friday,2:01 am to 6:00 am,4,Night,Spring,143,2,32,56833,1
147,13692,4648480.0,2010 March 26,14:45:00,2010,March,Friday,2:01 pm to 6:00 pm,14,Afternoon,Spring,144,2,25,57556,1
148,34996,150004449.0,2015 January 02,13:28:00,2015,January,Friday,10:01 am to 2:00 pm,13,Afternoon,Winter,145,2,2,57026,1
149,53681,200582406.0,2020 September 27,19:10:00,2020,September,Sunday,6:01 pm to 10:00 pm,19,Evening,Fall,146,2,32,57524,2
150,7999,180441877.0,2018 June 14,15:45:00,2018,June,Thursday,2:01 pm to 6:00 pm,15,Afternoon,Summer,147,2,1,51708,3
151,56615,210798706.0,2021 December 03,17:33:00,2021,December,Friday,2:01 pm to 6:00 pm,17,Evening,Winter,148,2,3,57274,1
152,1531,130478165.0,2013 June 10,17:37:00,2013,June,Monday,2:01 pm to 6:00 pm,17,Evening,Summer,149,2,2,57653,6
153,45379,140242405.0,2014 March 22,13:27:00,2014,March,Saturday,10:01 am to 2:00 pm,13,Afternoon,Spring,29223,2,1,53918,2
154,33405,140443465.0,2014 May 27,18:14:00,2014,May,Tuesday,6:01 pm to 10:00 pm,18,Evening,Spring,150,8,33,57583,1
155,12984,5584885.0,2012 February 18,12:15:00,2012,February,Saturday,10:01 am to 2:00 pm,12,Afternoon,Winter,151,2,2,57524,2
156,9112,4915490.0,2010 September 22,09:35:00,2010,September,Wednesday,6:01 am to 10:00 am,9,Morning,Fall,152,2,9,56833,2
157,17029,150293448.0,2015 April 03,19:21:00,2015,April,Friday,6:01 pm to 10:00 pm,19,Evening,Spring,153,2,1,57614,2
158,4010,150312662.0,2015 April 10,09:35:00,2015,April,Friday,6:01 am to 10:00 am,9,Morning,Spring,154,2,2,57660,4
159,24058,4513437.0,2009 December 04,14:35:00,2009,December,Friday,2:01 pm to 6:00 pm,14,Afternoon,Winter,155,2,2,57524,2
160,38649,3952363.0,2008 October 14,04:35:00,2008,October,Tuesday,2:01 am to 6:00 am,4,Night,Fall,156,2,12,55115,4
161,5681,4290721.0,2009 June 26,14:45:00,2009,June,Friday,2:01 pm to 6:00 pm,14,Afternoon,Summer,157,2,2,57659,1
162,16670,4340598.0,2009 August 04,09:20:00,2009,August,Tuesday,6:01 am to 10:00 am,9,Morning,Summer,158,2,2,53918,4
163,38549,4361682.0,2009 August 18,23:04:00,2009,August,Tuesday,10:01 pm to 2:00 am,23,Night,Summer,159,2,34,57546,1
164,18343,4648437.0,2010 March 27,12:53:00,2010,March,Saturday,10:01 am to 2:00 pm,12,Afternoon,Spring,160,2,2,57468,1
165,18732,4660798.0,2010 May 28,,2010,May,Friday,Unknown,,Night,Spring,161,2,12,57566,6
166,29768,4699493.0,2010 May 18,07:25:00,2010,May,Tuesday,6:01 am to 10:00 am,7,Morning,Spring,162,2,1,55448,2
167,5892,4717614.0,2010 May 27,11:31:00,2010,May,Thursday,10:01 am to 2:00 pm,11,Morning,Spring,163,11,35,57524,2
168,82508,230842612.0,2023 November 30,01:58:00,2023,November,Thursday,10:01 pm to 2:00 am,1,Night,Fall,164,2,3,55180,2
169,82161,230435922.0,2023 June 24,17:38:00,2023,June,Saturday,2:01 pm to 6:00 pm,17,Evening,Summer,165,2,1,57406,10
170,26410,4901669.0,2010 October 13,10:47:00,2010,October,Wednesday,10:01 am to 2:00 pm,10,Morning,Fall,166,2,2,53918,2
171,11576,4925413.0,2010 October 09,12:26:00,2010,October,Saturday,10:01 am to 2:00 pm,12,Afternoon,Fall,167,2,24,57524,2
172,14732,5064245.0,2011 January 18,17:12:00,2011,January,Tuesday,2:01 pm to 6:00 pm,17,Evening,Winter,168,2,8,57524,2
173,29906,4954254.0,2010 December 07,13:07:00,2010,December,Tuesday,10:01 am to 2:00 pm,13,Afternoon,Winter,169,2,1,57659,2
174,22814,5051415.0,2011 January 29,12:40:00,2011,January,Saturday,10:01 am to 2:00 pm,12,Afternoon,Winter,170,2,2,55192,2
175,1564,5066613.0,2011 February 07,16:38:00,2011,February,Monday,2:01 pm to 6:00 pm,16,Afternoon,Winter,171,1,2,57653,2
176,1717,5105539.0,2011 March 23,06:10:00,2011,March,Wednesday,6:01 am to 10:00 am,6,Morning,Spring,172,4,13,57525,2
177,19959,5197872.0,2011 May 26,20:20:00,2011,May,Thursday,6:01 pm to 10:00 pm,20,Evening,Spring,173,2,33,57621,4
178,20360,5208158.0,2011 May 31,11:32:00,2011,May,Tuesday,10:01 am to 2:00 pm,11,Morning,Spring,174,4,16,57658,1
179,86743,240629422.0,2024 October 06,19:30:00,2024,October,Sunday,6:01 pm to 10:00 pm,19,Evening,Fall,27,2,24,57468,1
180,6453,5334918.0,2011 September 05,16:43:00,2011,September,Monday,2:01 pm to 6:00 pm,16,Afternoon,Fall,175,2,1,55800,1
181,47210,190304942.0,2019 April 29,16:07:00,2019,April,Monday,2:01 pm to 6:00 pm,16,Afternoon,Spring,176,2,1,57566,4
182,22392,5592623.0,2012 January 30,09:42:00,2012,January,Monday,6:01 am to 10:00 am,9,Morning,Winter,177,2,1,57585,1
183,45463,171050560.0,2017 December 29,17:19:00,2017,December,Friday,2:01 pm to 6:00 pm,17,Evening,Winter,29223,8,3,55217,1
184,16776,5684951.0,2012 March 11,19:11:00,2012,March,Sunday,6:01 pm to 10:00 pm,19,Evening,Spring,178,1,3,56954,4
185,21909,6059056.0,2012 October 18,22:16:00,2012,October,Thursday,10:01 pm to 2:00 am,22,Night,Fall,179,2,3,57524,2
186,12332,6059155.0,2012 November 23,18:06:00,2012,November,Friday,6:01 pm to 10:00 pm,18,Evening,Fall,180,2,3,55192,2
187,82034,230033560.0,2023 January 15,05:01:00,2023,January,Sunday,2:01 am to 6:00 am,5,Morning,Winter,181,1,13,57585,11
188,85333,240153261.0,2024 March 09,02:49:00,2024,March,Saturday,2:01 am to 6:00 am,2,Night,Spring,182,2,3,57033,1
189,77885,200036641.0,2020 January 15,12:19:00,2020,January,Wednesday,10:01 am to 2:00 pm,12,Afternoon,Winter,183,3,6,56772,1
190,82164,230104042.0,2023 February 12,10:00:00,2023,February,Sunday,6:01 am to 10:00 am,10,Morning,Winter,184,2,1,57585,1
191,81873,230271378.0,2023 April 17,16:35:00,2023,April,Monday,2:01 pm to 6:00 pm,16,Afternoon,Spring,185,3,6,33815,2
192,81985,230346476.0,2023 May 19,15:41:00,2023,May,Friday,2:01 pm to 6:00 pm,15,Afternoon,Spring,186,1,2,57566,1
193,56089,210601171.0,2021 September 16,20:45:00,2021,September,Thursday,6:01 pm to 10:00 pm,20,Evening,Fall,187,2,3,57557,1
194,82167,230112506.0,2023 February 15,13:15:00,2023,February,Wednesday,10:01 am to 2:00 pm,13,Afternoon,Winter,188,2,2,56833,2
195,56169,210425705.0,2021 July 06,18:30:00,2021,July,Tuesday,6:01 pm to 10:00 pm,18,Evening,Summer,189,6,36,53918,1
196,55836,210559724.0,2021 August 31,16:02:00,2021,August,Tuesday,2:01 pm to 6:00 pm,16,Afternoon,Summer,190,2,2,57490,2
197,82336,230757362.0,2023 October 22,15:51:00,2023,October,Sunday,2:01 pm to 6:00 pm,15,Afternoon,Fall,191,4,37,56568,1
198,82222,230628183.0,2023 September 02,16:00:00,2023,September,Saturday,2:01 pm to 6:00 pm,16,Afternoon,Fall,192,2,2,55180,4
199,85970,240409917.0,2024 July 01,15:40:00,2024,July,Monday,2:01 pm to 6:00 pm,15,Afternoon,Summer,193,2,1,57659,2
